 (New),(Mới)
This is a preview. Actual post may vary.,
This month,
This name will be displayed in the segment list,Tên này sẽ được hiển thị trong danh sách tiêu chí
This pool contains {0} talent(s). You must remove all talents from the pool before deleting it.,
This section is not editable,Phần này không thể chỉnh sửa
This segment has no candidates yet,Tiêu chí này chưa có ứng cử viên
This step will be implemented soon,
This tag will be added to the candidate's profile and category,
This tag will be removed from the candidate's profile,
This template does not have a valid design. Please create a new design with the visual editor.,
This template helps you automate your workflow efficiently.,
This template will be publicly available to all users.,
This value will be set to the selected field,
This week,
"This will delete selected items and items linked to it, are you sure?","Điều này sẽ xóa các mục đã chọn và các mục được liên kết với nó, bạn có chắc không?"
"This will delete selected items and unlink linked items to it, are you sure?","Điều này sẽ xóa các mục đã chọn và các mục liên kết đã liên kết với nó, bạn có chắc không?"
This will post the current content to your selected Facebook page,
"This will restore (if not exist) all the default statuses, custom fields and layouts. Delete & Restore will delete default layouts and then restore them.","Điều này sẽ khôi phục (nếu không tồn tại) tất cả các trạng thái, trường tùy chỉnh và bố cục mặc định. Xóa & Khôi phục sẽ xóa bố cục mặc định và sau đó khôi phục chúng."
Thiếu 'file_name' trong request.,ThiếU 'File_Name' yêu cầu trong.
Thiếu 'meta_doctype' trong request.,Thiếu 'Meta_Doctype' Trong yêu cầu.
Thumbnail,Hình thu nhỏ
Thành công,
Thông báo cơ hội việc làm hấp dẫn...,
Thông báo tuyển dụng,
Thông tin,
Thông tin Liên hệ,
Thông tin OA,
Thông tin Zalo OA,
Thông tin chi tiết tài khoản chính,
Thông tin cơ bản,
Thông tin lỗi gần nhất khi đồng bộ,Thông tin lỗi gần NHất Khi
Thông tin metadata của account từ platform,
Thông tin ứng viên,Thông tin ứng Vin
Thấp,
Thẻ chú thích,
Thống kê,
Thời gian hẹn (nếu là ON_SCHEDULED_TIME),
Thời gian tối đa để Recruiter liên hệ lần đầu.,
Thời điểm Access Token hết hạn,Thời điểm mã thông báo truy cập hết hạn
Thời điểm dự kiến cho hành động tiếp theo.,Thời Điểm dự Kiến Cho Hành Động tiếp Theo.
Thời điểm đồng bộ gần nhất,Thời Điểm đồng bộ gần NHất
Thời điểm ứng viên được thêm vào chiến dịch.,Thời Điểm ứng viênn ĐượC thênm Vào Chiến dịch.
Thực hiện tại,
TikTok,
Tiktok,
Time Based,
Time Range:,
Time to MQL (Days),
Time:,
Timeline messages saved successfully,
Timeout (seconds),
Timeout should be between 5 and 300 seconds,
Times Used,
Timespan,Thời gian
Timestamp,
Timezone,
Tin gửi hôm nay:,
"Tip: Enter multiple items separated by commas, then press Enter",
Tip: You can enter multiple skills at once by separating them with commas,Mẹo: Bạn có thể nhập nhiều kỹ năng cùng một lúc bằng cách tách chúng bằng dấu phẩy
Tip: You can enter multiple tag at once by separating them with commas,
Title,Tiêu đề
Title Field,Lĩnh vực tiêu đề
Title cannot exceed 200 characters,
Title is required,
Title:,
Tiêu đề email,TIÊU Đề Email
To,ĐẾN
To User,Cho người dùng
To:,
Today,Hôm nay
Today at 10:46 AM,
Token,
Token Expires At,Mã thông báo hết hạn tại
Token Expiry,
Token Key,
Token expired,
Token not allowed for this Doctype,
Token not allowed for this action,
Token riêng cho account này (nếu có),
Tokyo (GMT+9),
Tomorrow,Ngày mai
Tone,
Top 5 Campaigns (Latest Interactions),
Top Engaged Talents,
Top Skills,Kỹ năng hàng đầu
Top channel,
TopCV,TOPCV
TopCV API Configuration,
TopCV API Setup Instructions:,
TopCV Connect Error,
TopCV Disconnect Error,
TopCV ID,
TopCV ID is required when TopCV publishing is enabled,
TopCV Integration,
TopCV Permissions,
Total,Tổng cộng
Total API Calls,
Total Actions,Tổng số hành động
Total Applicants,
Total Campaigns Created,
Total Emails,Tổng số email
Total Engagement,
Total Files,
Total Flows Created,
Total Interactions,Tổng số tương tác
Total Interactions (Open/Click),
Total Profiles,Tổng số hồ sơ
Total Records,
Total Rows,
Total Steps,Tổng số các bước
Total Steps:,Tổng số các bước:
Total Tags,
Total Talent,
Total Talents,
Total Templates,Tổng số mẫu
Total Webhooks,
Total Weight,
Total delay:,
Total messages:,
Total score,
Total years of experience is required,
Total: {0},
Track Conversions,
Track Email Opens,
Track Link,
Track Link Clicks,
Track Page View,
Track all links clicked in your emails.,
Track the performance of recruitment campaigns and nurture the talent pool,
Tracking,
Tracking Features,
Tracking Settings,
Transfer Notes,
Transfer talent to ATS system,
Transfer talent to ATS system for recruitment process,
Transfer to ATS system,
Transfer to recruitment,
Trigger,
Trigger Conditions,
Trigger Event,
Trigger Event (Resume Condition),
Trigger Name,
Trigger Type,
Trigger after {0} days of no interaction,
Trigger when customer subscribes to sequence,
Trigger when customer unsubscribes from sequence,
Trigger when there is a new subscriber,
Trigger {0},
Triggered when the action fails.,
Triggered when the action is successful.,
Triggered when the email is opened.,
Triggered when the link is clicked.,
Triggered when the user responds to the message.,
Triggers,
Triggers loaded successfully,
Triggers saved successfully,
Truy cập thông tin cơ bản của Official Account,
Truy cập và quản lý danh sách người theo dõi,
Try Again,Hãy thử lại
Try a different search term,
Try adjusting the minimum score or search criteria,Hãy thử điều chỉnh điểm tối thiểu hoặc tiêu chí tìm kiếm
Try adjusting your filters,
Try adjusting your search or filters,
Try again,
Try changing filters to find suitable candidates.,Hãy thử thay đổi bộ lọc để tìm ứng viên phù hợp.
Try changing the filter to find a suitable talent profile.,Hãy thử thay đổi bộ lọc để tìm một hồ sơ tài năng phù hợp.
Trình độ Học vấn,
Trạng thái,
Trạng thái CRM,
Trạng thái công khai,Trạng tháia sang Khai
"Trạng thái hoạt động của segment. 1 = Hoạt động, 0 = Không hoạt động",
Trạng thái:,
Turn into a group,
Tuyển dụng viên Phụ trách,
Two-way sync,
Type,Kiểu
Type a message...,
Type an email address to invite,Nhập địa chỉ email để mời
Type is required,
Type of your Cal.com account,
Type:,
Tài liệu chứng minh kinh nghiệm hoặc portfolio.,
Tên Doctype trong hệ thống sẽ đồng bộ với ATS,Tênn doctype trong hệ thống sẽ đồng bộ với ats
Tên Form cụ thể ứng viên đã điền.,
Tên Form/Trang đích,
Tên chiến dịch cụ thể (ví dụ: Q4_BATalent_2025),
Tên công việc,
Tên hiển thị của account,
"Tên hiển thị của phân khúc. VD: ""Senior Java Developers (HN)"", ""Product Designers (Remote)""",
"Tên nguồn dữ liệu, ví dụ: TopCV, VietnamWorks, Facebook… (tùy thuộc Source Type, được cập nhật tự động)","Tênn Nguồn dữ liệu, ví dụ: topcv, Việt Nam, Facebook"
"Tình trạng của nguồn dữ liệu: Active (đang sử dụng), Inactive",TÌnh trạng của ngg
Tư vấn Việc làm (Job Inquiry),
Tạo mới,TạO MớI
Tải Tài liệu (Content Download),
Tần suất đồng bộ,
Tệp CV Ứng viên,
"Tệp tin CV của ứng viên (PDF, DOCX).",
Tổng số lần tương tác,
Tổng điểm,
Từ khóa đã sử dụng (chủ yếu cho PPC/SEO),
Tự động đồng bộ templates,
Tỷ lệ bỏ kết nối,
UNSUBSCRIBE,
UN_SUBSCRIBE_TO_SEQUENCE,
UPDATE_FIELD_VALUE,
URL,
URL (if any),URL (nếu có)
URL (optional),URL (tùy chọn)
URL Link,
URL WebHook của hệ thống,
URL chuyển hướng sau khi xác thực thành công,
URL chuyển hướng sau khi ủy quyền thành công,
URL copied to clipboard,
URL nhận callback xác thực từ SocialHub,
URL to receive Cal.com webhooks,
URL where TopCV will send webhook notifications,
URL-friendly identifier,
USER_TRIGGERED,
UTC,
UTM Campaign,
UTM Content,
UTM Medium,
UTM Source,
UTM Term,
UTM Tracking,
UTM parameters are automatically added to track the source and effectiveness of each channel. This helps you analyze which channels bring the best results.,
Unable to load data,Không thể tải dữ liệu
Unable to load template details,
Unable to load templates,Không thể tải mẫu
Unable to read CSV file. Please check file encoding.,
Uncollapsible,Không thể kiểm soát được
Under Review,Đang được xem xét
Unexpected response format:,
Ungroup conditions,
Unique identifier for your organization,
Unknown,Không xác định
Unknown Flow,
Unknown Interaction Type,
Unknown Page,
Unknown event type: {0},
Unlayer editor design JSON data for advanced email templates,
Unlink,Hủy bỏ
Unlink and delete,Hủy bỏ và xóa
Unlink and delete {0} items,Hủy bỏ và xóa các mục {0}
Unlink linked item,Hủy liên kết các mục được liên kết
Unnamed Candidate,
Unpin View,Chế độ xem Unpin
Unpublished,
Unsaved Changes,Những thay đổi chưa được lưu
Unsubscribe,
Unsubscribe Rate,
Unsubscribe Reason (Optional),
Unsubscribe from Sequence,
Unsubscribe from emails,
Unsubscribe from marketing,
Unsubscribe from nurturing,
Unsubscribe talent,
Unsubscribe talent from campaign,
Unsubscribe talent from campaign communications,
Unsupported file format,
"Unsupported file type. Only CSV, XLS, XLSX files are allowed.",
Untitled,Không có tiêu đề
Untitled Job,
Update,Cập nhật
Update & Generate,
Update Application Status,
Update Connection,
Update Engagement Score,
Update Field Value,
Update Lead Score,
Update Page,
Update Post,
Update Schedule and send Email,
Update Score,
Update Status,
Update Step,Cập nhật bước
Update Talent Field,
Update Task,Cập nhật nhiệm vụ
Update Template,Cập nhật mẫu
Update a specific field value in talent profile,
Update campaign information,Cập nhật thông tin chiến dịch
Update candidate information,
Update data source information,Cập nhật thông tin nguồn dữ liệu
Update engagement field,
Update failed,
Update field value in talent profile,
Update page information and settings,
Update status,Cập nhật trạng thái
Update successfully,
Update the information for your landing page,
Update tracking field value,
Update your Facebook connection settings,
Update your TopCV connection settings,
Update {0} Records,Cập nhật bản ghi {0}
Updated At,
Updated Status,
Updated at,
Updating...,
Upload,Tải lên
Upload At,
Upload Attachment,
Upload By,
"Upload CV (PDF, DOCX)","Tải lên CV (PDF, DOCX)"
Upload Candiate,
Upload Date,
Upload Different File,
Upload Document,Tải lên tài liệu
Upload Excel/CSV,
Upload Excel/CSV file to create multiple candidates.,
Upload Excel/CSV file to create multiple job openings.,
Upload Excel/CSV file to create multiple talents.,
Upload Flow from Computer,
Upload History,
Upload Image,
Upload Job Openings,
Upload Many,
Upload Multi PDF,
Upload Multiple Resumes,
Upload PDF,
Upload Profiles Talent,
Upload Resume,
Upload Single Profile Talent,
Upload Talent,
Upload Your File,
Upload a document for this profile,Tải lên một tài liệu cho hồ sơ này
Upload a preview image,
Upload an image for this block,
Upload failed,
Upload files,
Upload many profiles.,
Upload profile and AI extracts data,
Upload session {0} started. Processing will run in the background.,
Upload template thumbnail,
Upload thumbnail,
Uploaded image,
Uploaded to:,
Uploading,
Uploading...,Tải lên ...
Usage Count,
Usage Statistics,
Use .ladiflow design file from your computer,
Use Case,
Use Generated Content,
Use Move Up/Down buttons to reorder steps,Sử dụng các nút di chuyển lên/xuống để sắp xếp lại các bước
Use Template,Sử dụng mẫu
Use Template Flow,
Use Template Step (Optional),
Use This Content,
Use default job image,
Use existing candidate segments,
Use pre-built scenarios to optimize your campaigns effectively,
"Use rich formatting, links, and mentions",
Use rich text formatting to create professional emails,
Use template,
Use this action by default when creating from template,
Use this trigger by default when creating from template,
"Use variables like [Candidate Name], [Job Title], [Company]",
"Use variables like [Name], [Job Title]",
"Use variables like {can_full_name}, {job_public_title}, {company_name} to personalize email",
Used,
Used for URL routing (optional),
Used?,
User,Người dùng
User Agent,
User Defined,
User Email,
User Management,
User Profile,
User Response,
User requested disconnect,
Using Unit,
"VD: 1 day, 2 hours, 30 minutes...",
VD: https://hireos.fastwork.vn,
VIP care,
Valid Records,
Validate,
Validate Data,
Validate Only,
Validate only (don't import data),
Validating...,
Validation,
Validation Error,
Validation Errors (JSON),
Validation Summary,
Validation passed,
Value,Giá trị
Verified,
Verify that your Facebook connection is working,
Verify that your TopCV connection is working,
Version,
VietnamWorks,Việt Nam
Vietnamese,
View,Xem
View Action,
View Analytics,
View CV,
View Candidate,
View Company Website,
View Details,Xem chi tiết
View Documentation,
View History,
View JobOpening,
View Name,
View Post,
View Posted Job,
View Profile,
View Statistics,
View Talent,
View Workflow Details,Xem chi tiết quy trình làm việc
View all sync operations from ATS to Segment Pool,
View all sync operations from ATS to Talent Pool,
"View likes, comments, and engagement metrics",
View workflow details,Xem chi tiết quy trình làm việc
Visibility and properties,
Vision,
Visit Count,
Visit Website,
Việc xóa sẽ được đưa vào hàng đợi xử lý. Bạn sẽ nhận được thông báo khi quá trình hoàn tất.,
"Ví dụ: High Potential, Passive Talent, Hard to Fill.",
Ví dụ: https://hireos.fastwork.vn,
Vùng nguy hiểm,
Văn bản gốc được sử dụng để tạo vector nhúng.,
Văn bản tóm tắt hồ sơ được sử dụng để tạo vector nhúng.,
Vị trí,
Vị trí Quan tâm,
WAIT,
Wait,Chờ đợi
Wait ,
Wait Until Time,
Wait for candidate response,
Waiting Event,
Warm,
Warning,
Warning: This will permanently stop tracking this talent. This action cannot be undone.,
We are excited to announce a new opening for:,
We are looking for talented professionals...,
We're hiring for:,
We're hiring:,
We're looking for:,
Web Favicon,
Webhook Configuration,
Webhook Secret,
Webhook URL,
Webhook URL *,
Webhook URL:,
Webhooks,
Website,Trang web
Website Button,
Website URL,
Week,
Weeks,
Welcome Email,
Welcome back! Here is the status of your activities today.,Chào mừng trở lại! Đây là tình trạng của các hoạt động của bạn ngày hôm nay.
Welcome new subscriber,
"Welcome to our platform, {{ full_name }}",
What will be created:,
What will be saved:,
WhatsApp,WhatsApp
When action fails,
When action is successful,
When do you want to send this campaign?,
When do you want to start this campaign?,
When email is opened,
When link is clicked,
When message fails to send,
When message is sent successfully,
When should the first message be sent?,
When should this first message be sent?,
When to send booking reminders,
When user responds,
When which tag is added?,
When which tag is removed?,
Where,Ở đâu
Which calendar to use for bookings,
Which candidates do you want to send this campaign to?,
Width,Chiều rộng
"Width can be in number, pixel or rem (eg. 3, 30px, 10rem)","Chiều rộng có thể có trong số, pixel hoặc rem (ví dụ: 3, 30px, 10rem)"
Will be added,
Will be added:,Sẽ được thêm vào:
Will be removed,
Will post at scheduled time,
Will post immediately when campaign starts,
Will send at scheduled time,
Will send immediately when campaign starts,
Withdraw candidate,
Work Address,
Work Experience,Kinh nghiệm làm việc
Work Model,
Work form,
Work location,
Write your Facebook post content here...,
Write your Zalo post content here...,
Write your comments here. Example: I want to create a job description for a software engineer with 3 years of experience in React and Node.js.,
Write your job post content here...,
Write your message...,
Xem chi tiết,
"Xem thêm, Ứng tuyển ngay, Liên hệ...",
Xin chào! Cảm ơn bạn đã quan tâm đến vị trí tuyển dụng. Chúng tôi có thể giúp gì cho bạn?,
Xin chào! Cảm ơn bạn đã quan tâm đến vị trí {{job_title}}.,
Xóa,
Xóa {0} talent(s),
Year to Date,
Years of Experience,
Years of Experience (YOE),
Years of experience,Nhiều năm kinh nghiệm
Years of experience (optional),Nhiều năm kinh nghiệm (tùy chọn)
Yes,
Yesterday,Hôm qua
You can paste an image URL or upload a new image. Leave empty to use the default job image.,
You don have permission to,
You have recently submitted. Please wait a moment before submitting again.,Bạn đã nộp gần đây. Vui lòng đợi một chút trước khi gửi lại.
You have unsaved changes. Do you want to save them?,Bạn có những thay đổi chưa được lưu. Bạn có muốn cứu họ không?
You need to be in developer mode to edit a Standard Form Script,Bạn cần ở chế độ nhà phát triển để chỉnh sửa tập lệnh biểu mẫu tiêu chuẩn
You need to connect to at least one platform before you can share job postings. Please go to Settings to set up your connections.,
YouTube,
Your API credentials are encrypted and stored securely. They are used only for authorized TopCV operations.,
Your Cal.com API Key,
"Your Cal.com username (e.g., john-doe)",
Your Facebook Page,
Your Name,
Your Page Name,
Your Zalo OA,
Your full name,
Your message will appear here...,
Your messages will appear here...,
Your organization name,
Your organization tenant name,
Your organization's Facebook App will be configured centrally,
Your post content will appear here...,
Your team members can see and use this template,
Yêu cầu,
ZALO,
ZALO_CARE,
ZALO_CLICK,
ZALO_FORM_SUBMITTED,
ZALO_MESSAGE,
ZALO_ZNS,
Zalo,
Zalo Care Editor,
Zalo Configuration,
Zalo Content Template,
Zalo Message,
Zalo Message Preview,
Zalo Message Template,
Zalo OA,
Zalo OA đã kết nối,
Zalo OAs loaded successfully,
Zalo Official Account,
Zalo Post,
Zalo Profile,
Zalo Template,
Zalo ZNS Editor,
Zalo message,
access_token_topcv is required,
account.,
added a,
after previous message,
after user receive message from previous step,
all,tất cả
and,
applications,ứng dụng
approvals,
auto,
avg_days_between_interactions,
bcc@example.com,
buttons,
campaign_name is required,
campaigns,chiến dịch
candidate,ứng viên
candidates,ứng cử viên
cc@example.com,
changes from,
characters,
click to select files,
clicks,
client_id is required,
client_secret is required,
comment,
comments,
completed successfully,
condition,
confirm-email,
contact,
contains,
create your job opening,
created successfully,
d ago,
day,ngày
days,ngày
days ago,ngày trước
days delay,ngày trì hoãn
days from last month,Ngày kể từ tháng trước
days total duration,ngày tổng thời gian
deleted successfully,
does not contain,
e.g. 15 million VND,ví dụ. 15 triệu vnd
e.g. 30 million VND,ví dụ. 30 triệu vnd
"e.g., Facebook Post QR, Poster QR, Event QR",
"e.g., Social Media, Print Material, Event",
"e.g., qr, print, offline",
"e.g., qr_code, poster, flyer",
email already exists,Email đã tồn tại
"email1@example.com, email2@example.com",
email@example.com,
email_click,
email_open,
email_opt_out,
ends with,
failed,
fieldsToRewrite require,
from blacklist,
from channels,
from last month,từ tháng trước
greater than,
group_by,nhóm_by
h ago,
hour,
hours,
https://...,
https://cal.com,
https://example.com,
https://example.com/documentation,
https://example.com/image.jpg,
https://example.com/job-opening,
https://facebook.com/...,
https://is.gd/...,
https://ladipage.vn/your-page,
https://linkedin.com/in/...,
https://your-ats-domain.com,
https://your-domain.com/api/webhook/calcom,
https://your-domain.com/api/webhooks/topcv,
https://your-domain.com/auth/calcom/callback,
https://your-webhook-url.com,
images,
in 1 hour,trong 1 giờ
in 1 minute,trong 1 phút
in 1 year,trong 1 năm
in {0} M,trong {0} m
in {0} d,trong {0} d
in {0} days,Trong {0} ngày
in {0} h,trong {0} h
in {0} hours,trong {0} giờ
in {0} m,trong {0} m
in {0} minutes,trong {0} phút
in {0} months,trong {0} tháng
in {0} w,trong {0} w
in {0} weeks,trong {0} tuần
in {0} y,trong {0} y
in {0} years,trong {0} năm
invited-email,
is,
is empty,
is not,
is not empty,
items,mặt hàng
job_title,
just now,vừa rồi
kanban,Kanban
label,nhãn
later,
less than,
likes,
list,danh sách
loaded successfully,
m ago,
manual,
mentioned you in {0},đã đề cập đến bạn trong {0}
minute,
minutes,
months ago,vài tháng trước
more,hơn
new candidates,ứng cử viên mới
next,Kế tiếp
none,
now,Hiện nay
of,của
on_link_click,
operator,
or,
or drag and drop here,
originalJD require,
other-email,
page_id is required,
pages,
pending approval,đang chờ phê duyệt
platform,
platforms,
previous,trước
private,
prospects,
public,
recent_30d_score,
recent_7d_score,
records,
records found,
reject-email,
remaining,
results,kết quả
secret_key_topcv is required,
selected,
shares,
shortlinks,
starts with,
"step_order: 1,2,3
delay_from_previous: ""2 days"", ""4 hours"", ""0 minutes"" (gửi ngay lập tức)
channel: Email, SMS, Zalo_ZNS
template_id: 
action_if_replied:Stop Sequence, Continue
related_action:Update Talent Tag, Create Task

",
steps,Các bước
steps configured,
submitted successfully,
successful,
system,
tag_added,
tags selected,
talent,
talents,
templates,mẫu
texts,
then continue,
this month,tháng này
times,
to,ĐẾN
today,
tomorrow,Ngày mai
tone require,
unknown,
update your job opening,
updated successfully,
uploaded successfully,
user@company.com,
users,
và {0} talent(s) khác...,
week,
weeks,
weeks ago,vài tuần trước
when,
years ago,nhiều năm trước
yesterday,Hôm qua
yet.,
your-email@domain.com,
your-username,
zalo_click,
zalo_seen,
{0} M,{0} m
{0} d,{0} d
{0} days ago,{0} ngày trước
{0} file(s) retried successfully.,
{0} h,{0} h
{0} hours ago,{0} giờ trước
{0} is an invalid email address,
{0} m,{0} m
{0} mentioned you in a comment on {1},
{0} minutes ago,{0} phút trước
{0} months ago,{0} tháng trước
{0} w,{0} w
{0} weeks ago,{0} tuần trước
{0} y,{0} y
{0} years ago,{0} năm trước
Đang phân tích Resume với AI,
Đang trích xuất thông tin từ Resume của bạn...,
Đang tải các vị trí làm việc...,
Điểm Chất lượng (Lead Score),
Điểm trong 30 ngày,
Điểm trong 7 ngày qua,
Đánh dấu nếu ATS này chạy cùng site với hệ thống hiện tại (không cần nhập API Base URL),ĐổiH dấu nếu ats nÀy chạy cùna trang web với hệ Th
Đánh giá Recruiter (1-5),
Đã cập nhật hành động thành công,
Đã duyệt,
Đã áp dụng vào form,
Đóng,
Đăng ký Sự kiện (Event Registration),
Đảm bảo URL webhook có thể truy cập từ internet để SocialHub gửi callback.,
Để trống nếu không giới hạn,
Địa chỉ API endpoint của nhà cung cấp (bỏ trống nếu Same Site),ĐịA Chỉ api endpoint của nhà cung cấp (bỏ trống nếu cùng trang web)
Địa điểm Hiện tại,
Địa điểm làm việc hiện tại hoặc mong muốn.,
Định dạng file không hỗ trợ.,Đ-Nh dạng tập tin Không Hỗ trợ.
Đồng bộ,
Đồng bộ Zalo OA thành công,
Đồng bộ Zalo OA thất bại,
Đồng bộ lần cuối:,
Ưu tiên tin nhắn,
Ảnh Ứng viên,
Ứng tuyển ngay:,
"⚠️ Avoid using ""trigger"" as a field name — it conflicts with the built-in trigger() method.","Tránh sử dụng ""Trigger"" làm tên trường-nó mâu thuẫn với phương thức Trigger () tích hợp."
"⚠️ Method ""{0}"" not found in class.","Phương thức ""{0}"" không tìm thấy trong lớp."
"⚠️ No class found for doctype: {0}, it is mandatory to have a class for the parent doctype. it can be empty, but it should be present.","Không tìm thấy lớp nào cho doctype: {0}, bắt buộc phải có một lớp cho cha mẹ doctype. Nó có thể trống, nhưng nó nên có mặt."
⚠️ No data found for parent field: {0},Không tìm thấy dữ liệu cho trường cha: {0}
⚠️ No row found for idx: {0} in parent field: {1},⚠ Không tìm thấy hàng cho idx: {0} trong trường cha: {1}
"🤖 {0} đã tự động được map, vui lòng kiểm tra lại!",
